# ID_V                   ID_I                      RA             DEC
  0012.066_1005.848V     0011.376_1005.850i   17:40:14.043   -53:35:04.81
  0012.560_0375.967V     0011.388_0375.950i   17:40:14.353   -53:40:17.63
  0012.718_0505.444V     0012.015_0505.197i   17:40:14.304   -53:39:13.33
  0013.423_0666.712V     0013.697_0666.641i   17:40:14.271   -53:37:53.23
  0014.461_0204.916V     0014.022_0204.589i   17:40:14.536   -53:41:42.58
  0014.535_0432.191V     0013.911_0432.075i   17:40:14.438   -53:39:49.70
  0015.461_0537.358V     0015.833_0537.247i   17:40:14.442   -53:38:57.47
  0017.895_0268.948V     0017.266_0268.789i   17:40:14.699   -53:41:10.76
  0017.922_0200.563V     0017.292_0200.369i   17:40:14.731   -53:41:44.73
  0019.290_0355.205V     0018.590_0355.064i   17:40:14.738   -53:40:27.92
  0019.444_0860.947V     0018.732_0860.885i   17:40:14.520   -53:36:16.74
  0020.623_0150.646V     0020.057_0150.589i   17:40:14.905   -53:42:09.51
  0020.704_0585.304V     0021.080_0585.145i   17:40:14.714   -53:38:33.63
  0021.401_1077.380V     0020.791_1077.195i   17:40:14.532   -53:34:29.24
  0021.571_0463.087V     0020.912_0463.004i   17:40:14.817   -53:39:34.33
  0021.580_0532.949V     0020.934_0532.788i   17:40:14.786   -53:38:59.63
  0021.806_0519.880V     0021.267_0519.611i   17:40:14.805   -53:39:06.12
  0022.012_0283.854V     0021.425_0283.961i   17:40:14.922   -53:41:03.34
  0022.454_0595.113V     0022.808_0594.912i   17:40:14.807   -53:38:28.76
  0022.538_0575.809V     0022.851_0575.655i   17:40:14.820   -53:38:38.34
  0023.054_0883.764V     0022.481_0884.565i   17:40:14.711   -53:36:05.39
  0023.553_0715.463V     0022.921_0715.326i   17:40:14.814   -53:37:28.98
  0023.620_0202.939V     0022.270_0202.538i   17:40:15.049   -53:41:43.52
  0023.841_0131.545V     0023.297_0131.370i   17:40:15.093   -53:42:18.98
  0023.969_0721.470V     0023.434_0721.340i   17:40:14.835   -53:37:25.99
  0024.049_0277.486V     0023.347_0277.510i   17:40:15.039   -53:41:06.50
  0024.356_0171.353V     0023.636_0171.270i   17:40:15.104   -53:41:59.21
  0026.161_0709.519V     0025.536_0709.099i   17:40:14.963   -53:37:31.92
  0026.211_0409.403V     0025.455_0409.219i   17:40:15.101   -53:40:00.97
  0026.217_0159.967V     0025.482_0159.588i   17:40:15.213   -53:42:04.86
  0026.503_0035.865V     0026.051_0035.616i   17:40:15.286   -53:43:06.49
  0027.845_0379.967V     0027.180_0379.822i   17:40:15.205   -53:40:15.59
  0028.996_0058.499V     0028.379_0058.203i   17:40:15.415   -53:42:55.24
  0029.207_0511.994V     0028.540_0511.782i   17:40:15.222   -53:39:10.01
  0030.729_0173.980V     0030.284_0173.748i   17:40:15.459   -53:41:57.88
  0031.393_0556.368V     0031.730_0556.207i   17:40:15.324   -53:38:47.96
  0031.799_0712.670V     0031.255_0712.445i   17:40:15.276   -53:37:30.33
  0033.193_0129.304V     0032.526_0129.121i   17:40:15.618   -53:42:20.06
  0033.704_1082.774V     0033.307_1082.727i   17:40:15.216   -53:34:26.51
  0033.955_0144.737V     0033.410_0144.538i   17:40:15.653   -53:42:12.39
  0034.022_0665.186V     0034.344_0665.129i   17:40:15.422   -53:37:53.91
  0034.991_0169.226V     0034.318_0168.858i   17:40:15.700   -53:42:00.22
  0035.097_0798.474V     0034.367_0798.403i   17:40:15.421   -53:36:47.71
  0035.295_0569.943V     0035.714_0569.728i   17:40:15.536   -53:38:41.20
  0036.892_0673.410V     0036.363_0673.153i   17:40:15.578   -53:37:49.81
  0037.463_0323.680V     0036.828_0323.437i   17:40:15.768   -53:40:43.50
  0037.500_0691.474V     0036.914_0691.269i   17:40:15.604   -53:37:40.84
  0038.792_0934.949V     0038.269_0934.737i   17:40:15.566   -53:35:39.91
  0039.590_0564.933V     0039.976_0564.716i   17:40:15.778   -53:38:43.68
  0039.999_0813.062V     0039.233_0812.715i   17:40:15.688   -53:36:40.44
  0041.109_0377.159V     0041.151_0376.939i   17:40:15.948   -53:40:16.93
  0041.284_0903.867V     0040.582_0903.648i   17:40:15.719   -53:35:55.34
  0041.508_0467.235V     0040.713_0467.103i   17:40:15.929   -53:39:32.19
  0041.542_0498.181V     0040.871_0498.012i   17:40:15.917   -53:39:16.82
  0042.103_0510.298V     0041.540_0510.035i   17:40:15.943   -53:39:10.80
  0043.807_0340.336V     0043.238_0340.268i   17:40:16.115   -53:40:35.21
